Comment_Text_Arabic,Problem_Source
"يا ولادي شريت تاليفون جديد، بعد جمعة البطارية طاحت جملة! 😠",المنتج
"الطلبية وصلتني ناقصة، و خدمة العملاء ما يجاوبوش! 😡",الخدمة
"الغسالة من أول استعمال تعمل في حس غريب و ما تنظفش بالباهي. 🤦‍♂️",المنتج
"طلبت حذاء، جابولي قياس خاطئ و باش نبدل حكاية!",الخدمة
"الخامة نتاع التيشرت هذا خايبة برشا، لبستين و تريّش.",المنتج
"استنيت شهر باش وصلني الطرد، و زيد وصل مكسر! بربي هذا تعامل؟",الخدمة
"سماعات الأذن شريتها على أساس أصلية، طلعت تقليد و الصوت فيها كارثة. 🎧",المنتج
"يعطيهم الصحة على السرعة في التوصيل، أما المنتج ما يسوى شي.",المنتج
"مشكلة كبيرة في تغطية الهاتف هذا، ديما مقصوص!",المنتج
"خدمة ما بعد البيع صفر، عندي شهر نستنى فيهم باش يصلحولي التلفزة. 📺",الخدمة
"الكريم هذا عملي حساسية في وجهي، مع انو مكتوب للبشرة الحساسة! 😠",المنتج
"كلمتهم 10 مرات على مشكلة في الفاتورة، حد ما عبرني!",الخدمة
"الكرسي اللي شريتو تكسر فيسع، الخشب متاعو تعبان برشا.",المنتج
"التوصيل قالولي 3 أيام، وصلني بعد جمعتين! تي شنية الحالة?",الخدمة
"الماكلة اللي طلبتها وصلت باردة و معجنة.",الخدمة
"اللعبة شريتها و ما خدمتش على الحاسوب نتاعي، رغم اللي المواصفات متطابقة. 🎮",المنتج
"البائع في المحل كان موش محترم بالكل، و غشني في السوم.",الخدمة
"الساعة الذكية ديما تتسكر وحدها، ما فهمتش علاش!",المنتج
"طالب حاجة، جابولي حاجة أخرى! و يقولك ما نرجعوش! 😤",الخدمة
"الفرن الكهربائي يحرق الماكلة من جهة و يخليها نية من جهة أخرى.",المنتج
"دفعت فلوس التوصيل السريع، ووصلتني الطلبية بعد أسبوع. فلوسي خسارة!",الخدمة
"الريحة نتاع العطر هذا موش كيف اللي شميتها في المحل، مغشوشة.",المنتج
"ما لقيت حتى مساعدة منهم كيف المنتج فسد، يتهربوا من المسؤولية.",الخدمة
"الطابعة ما تقراش الأوراق بالباهي و ديما توحل. 🖨️",المنتج
"كلمتهم على الشكوى، قريب شهر و لا حس و لا خبر.",الخدمة
"الميكرويف شريتو البارح، اليوم ماعادش يسخن!",المنتج
"اللي يوصل في الطلبات موش منظم، يجي في أي وقت و ما يعلمش.",الخدمة
"الصبغة متاع الشعر حرقتلي شعري، مع اني تبعت التعليمات. 😭",المنتج
"عندهم موقع على الشبكة كارثة، لا تنجم تطلب و لا شي.",الخدمة
